ADAMS/LOIS MISS            PA222 Y 05JUN
ALEXANDER/EVELYN MRS       PA842 Y 07MAY
ALEXANDER/PHILIP MR        PA232 C 05MAY
ALLEN/GEORGE REV           PA875 Y 23MAY
ALLEN/HAROLD MR            PA201 Y 22MAY
ALLEN/JOHN MR              PA284 C 08MAY
ALLEN/LOIS DR              PA247 C 18MAY
ALLEN/RUTH MRS             PA831 Y 14MAY
ALVAREZ/ERNEST MR          PA448 Y 04JUN
ANDERSON/ARTHUR MR         PA894 Y 21MAY
ANDERSON/ELEANOR MRS       PA219 Y 04MAY
ANDERSON/MARION MRS        PA460 Y 03JUN
ANDERSON/WALTER MR         PA895 Y 26MAY
ANDREWS/EDWARD COL         PA816 Y 11MAY
BAILEY/DONALD DR           PA166 Y 10JUN
BAKER/BETTY MRS            PA857 F 14MAY
BAKER/GRACE DR             PA197 Y 16MAY
BAKER/RICHARD MR           PA159 F 16JUN
BAKER/RUTH DR              PA265 Y 23JUN
BALL/ERNEST MR             PA160 Y 19MAY
BANKS/RALPH REV            PA809 Y 03MAY
BARNES/FLORENCE MRS        PA847 C 18MAY
BELL/HAROLD REV            PA887 Y 24MAY
BENNETT/WALTER DR          PA630 Y 04JUN
BERRY/RAYMOND COL          PA145 F 10JUN
BLACK/HENRY MR             PA895 Y 24MAY
BROOKS/GLORIA MRS          PA281 Y 20MAY
BROOKS/GRACE MISS          PA150 Y 06JUN
BROWN/ALBERT DR            PA112 C 07MAY
BROWN/ANNE MRS             PA824 Y 14MAY
BROWN/ARTHUR DR            PA805 Y 27MAY
BROWN/DORIS MRS            PA126 Y 01JUN
BROWN/ERNEST DR            PA855 C 22MAY
BROWN/GRACE MISS           PA245 Y 25JUN
BROWN/HERBERT COL          PA824 C 21MAY
BROWN/LOIS DR              PA862 Y 03MAY
BURNS/ELEANOR MRS          PA263 C 13MAY
BURNS/JOHN MR              PA648 Y 12MAY
BUTLER/STANLEY MR          PA648 Y 05MAY
BYRD/HELEN DR              PA269 Y 09JUN
CAMPBELL/FRED MR           PA269 C 23JUN
CAMPBELL/GRACE MISS        PA831 C 23JUN
CAMPBELL/KENNETH MR        PA821 Y 13JUN
CAMPBELL/RAYMOND COL       PA102 Y 15MAY
CAMPBELL/SAMUEL MR         PA146 Y 04MAY
CARR/JOHN COL              PA160 F 28JUN
CARTER/ANNE MISS           PA641 Y 19MAY
CARTER/BETTY MISS          PA298 F 03MAY
CASTRO/WILLIAM MR          PA245 Y 07JUN
CHAPMAN/DOROTHY MRS        PA166 Y 09JUN
CHAPMAN/JOHN MR            PA620 Y 04MAY
CLARK/DOROTHY MRS          PA817 Y 17JUN
CLARK/EDWARD MR            PA225 C 28MAY
CLARK/ERNEST REV           PA106 Y 03JUN
CLARK/GRACE MISS           PA144 Y 01MAY
CLARK/HOWARD DR            PA400 Y 04JUN
CLARK/LOIS MISS            PA674 C 15JUN
CLARK/MARTHA MISS          PA885 Y 19MAY
CLARK/RICHARD MR           PA867 F 07MAY
COLE/ROSE DR               PA892 Y 03JUN
COLLINS/HELEN MISS         PA279 C 01JUN
COLLINS/RALPH REV          PA821 C 08MAY
COOK/ERNEST MR             PA816 C 23JUN
COOK/FRANK MR              PA649 Y 17JUN
COOK/HERBERT DR            PA158 Y 27MAY
COOPER/ALBERT REV          PA294 Y 16JUN
COOPER/GEORGE MR           PA002 F 12JUN
COX/ELIZABETH MISS         PA155 Y 03MAY
COX/NORMAN DR              PA851 Y 25MAY
CRAWFORD/RICHARD COL       PA217 Y 18MAY
CUNNINGHAM/WALTER MR       PA252 F 21MAY
CURTIS/ARTHUR COL          PA298 F 28MAY
CURTIS/HELEN MISS          PA817 Y 15MAY
DANIELS/STANLEY MR         PA882 Y 03MAY
DAVIS/ALICE MISS           PA626 C 09JUN
DAVIS/CHARLES MR           PA273 Y 09JUN
DAVIS/EDWARD MR            PA122 Y 23MAY
DAVIS/ERNEST DR            PA824 Y 14JUN
DAVIS/FLORENCE DR          PA213 Y 05MAY
DAVIS/FRANK REV            PA886 Y 02MAY
DAVIS/WALTER MR            PA152 Y 02MAY
DEAN/MARY MISS             PA865 C 07JUN
