0003 ADAMS, TODD M.                 9 
0004 ALEXANDER, SANDRA M.           10
0005 ALLEN, MICHELLE B.             12
0006 ALLEN, TRACY A.                12
0007 ANDERSON, CURTIS T.            12
0008 ANDERSON, DIANE S.             11
0009 ANDERSON, KEVIN N.             10
0010 ANDERSON, RANDY L.             9 
0011 ANDREWS, DALE S.               10
0012 ANDREWS, ROGER L.              11
0013 AUSTIN, ERIC P.                11
0014 AUSTIN, PAMELA H.              12
0015 BAILEY, BRIAN F.               12
0016 BAILEY, TIMOTHY J.             9 
0017 BAKER, LISA P.                 10
0018 BAKER, MELISSA E.              11
0019 BAKER, ROBERT B.               10
0020 BAKER, TODD D.                 12
0021 BALL, WAYNE S.                 9 
0022 BARNES, ERIC E.                11
0023 BARNES, MICHELLE G.            10
0024 BARNES, ROBERT E.              9 
0025 BATES, TERESA J.               12
0026 BECK, LISA S.                  9 
0027 BECK, VICKIE R.                11
0028 BELL, GLENN G.                 10
0029 BELL, KEITH A.                 10
0030 BELL, MICHAEL N.               11
0031 BERRY, DONNA J.                10
0032 BERRY, GLENN S.                12
0033 BOWMAN, SANDRA F.              11
0034 BRADLEY, JEFFREY T.            12
0035 BROOKS, LISA R.                9 
0036 BROOKS, TAMMY H.               10
0037 BROOKS, TERESA T.              12
0038 BROOKS, TRACY H.               9 
0039 BROWN, BRIAN H.                9 
0040 BROWN, DALE E.                 9 
0041 BROWN, ROGER W.                10
0042 BROWN, WILLIAM F.              10
0043 BRYANT, RHONDA W.              9 
0044 BRYANT, WAYNE A.               10
0045 BURKE, STEVEN B.               11
0046 BURNS, LISA S.                 11
0047 CARTER, DUANE J.               12
0048 CARTER, LORI E.                10
0049 CASTILLO, CRAIG D.             9 
0050 CASTRO, JULIE C.               9 
0051 CASTRO, SHERRY C.              10
0052 CHAMBERS, DIANE C.             10
0053 COLE, JOHN B.                  12
0054 COLE, TERESA N.                9 
0055 COLEMAN, STEVEN K.             11
0056 COLEMAN, TAMMY E.              12
0057 COOK, KIMBERLY J.              12
0058 COOK, MICHAEL C.               10
0059 COOK, STACEY M.                10
0060 CURTIS, BRENDA N.              10
0061 DAVIS, CURTIS N.               10
0062 DAVIS, DIANE B.                10
0063 DAVIS, KENNETH J.              9 
0064 DAVIS, PEGGY E.                12
0065 DAVIS, SHARON D.               9 
0066 DAVIS, TERRY S.                12
0067 DEAN, LAURA A.                 10
0068 DUNN, TERRY R.                 12
0069 DUNN, TIMOTHY K.               11
0070 EDWARDS, MELISSA F.            9 
0071 EDWARDS, SHERRY J.             12
0072 EDWARDS, VERNON W.             11
0073 ELLIS, STACEY H.               11
0074 EVANS, BRUCE E.                10
0075 EVANS, PATRICIA K.             12
0076 FISHER, JAMES N.               10
0077 FISHER, MICHAEL L.             9 
0078 FRAZIER, RHONDA K.             10
0079 FREEMAN, ERIC P.               10
0080 FREEMAN, MARY F.               12
0081 FREEMAN, WENDY B.              9 
0082 GARDNER, CHRISTINE J.          12
0083 GARRETT, STACEY F.             9 
0084 GIBSON, KIMBERLY N.            12
0085 GIBSON, MARY J.                12
0086 GOMEZ, JAMES P.                11
0087 GOMEZ, TERESA A.               10
0088 GONZALES, DALE P.              11
0089 GRAHAM, JEFFREY E.             9 
0090 GRAHAM, TAMMY W.               11
0091 GRAVES, CYNTHIA L.             12
0092 GRAY, BRENDA N.                9 
0093 GRAY, TAMMY L.                 12
0094 GREGORY, RANDY A.              9 
0095 GRIFFIN, PAMELA R.             10
0096 GRIFFIN, RONALD B.             11
0097 GUTIERREZ, CHRISTINE E.        11
0098 HANSON, KIMBERLY T.            11
0099 HARRIS, RICHARD B.             10
0100 HARRIS, ROBERT S.              10
0101 HARRIS, SUSAN H.               12
0102 HAWKINS, BRUCE A.              12
0103 HAWKINS, GARY D.               9 
0104 HAYNES, TODD A.                12
0105 HENDERSON, RONALD W.           11
0106 HORTON, TERRY A.               10
0107 HOWARD, BRAD F.                10
0108 HOWELL, PAMELA R.              10
0109 HUGHES, JAMES P.               9 
0110 HUNTER, SHANNON L.             9 
0111 JACKSON, GREGORY M.            9 
0112 JACKSON, KEITH L.              12
0113 JACKSON, LORI M.               9 
0114 JACKSON, SANDRA A.             10
0115 JACKSON, STACEY J.             12
0116 JACKSON, TODD P.               10
0117 JACKSON, TONY J.               11
0118 JENKINS, WAYNE J.              12
0119 JOHNSON, BRENDA K.             9 
0120 JOHNSON, DANIEL W.             12
0121 JOHNSON, DOUGLAS R.            12
0122 JOHNSON, JEFFREY T.            9 
0123 JOHNSON, PAMELA D.             9 
0124 JOHNSON, ROBERT B.             11
0125 JOHNSON, ROGER E.              11
0126 JOHNSON, SHERRY P.             11
0127 JOHNSON, VICKIE D.             12
0128 JOHNSON, WENDY L.              12
0129 JOHNSON, WENDY M.              10
0130 JOHNSON, WILLIAM T.            10
0131 JONES, DANIEL J.               12
0132 JONES, DAWN K.                 9 
0133 JONES, DONNA G.                9 
0134 JONES, GARY N.                 9 
0135 JONES, KIMBERLY L.             11
0136 JONES, LISA E.                 12
0137 JONES, LORI E.                 10
0138 JONES, MELISSA H.              10
0139 JONES, MICHELLE H.             10
0140 JONES, SHERRY F.               9 
0141 KELLY, LISA L.                 9 
