4471-08054SAVINGS LINDQVIST, B            037BREMERTON     2,051.65      0.00
4471-08167CHECKINGMACIAS, V               044BURIEN        2,353.87      0.00
4471-08532SAVINGS HUYNH, P                064KIRKLAND        219.56    209.00
4471-08563SAVINGS CARRASCO, E             117TACOMA        2,012.55      0.00
4471-08605CHECKINGESPINOZA, M             037BREMERTON       870.80      0.00
4471-08822CHECKINGANDERSSON, K            042SEATTLE       1,284.55      0.00
4471-08932CHECKINGIWANAGA, T              085REDMOND       1,710.61      0.00
4471-09052CHECKINGKOWALCZYK, A            106BOTHELL       1,477.64      0.00
4471-09104SAVINGS OSBORNE, T              042SEATTLE         612.10    100.00
4471-09207CHECKINGYAMAGUCHI, N            073EVERETT       1,766.76      0.00
4471-09253SAVINGS NAKASHIMA, Y            061KENT            540.97      0.00
4471-09264SAVINGS VASILENKO, I            042SEATTLE       1,955.05      0.00
4471-09394CHECKINGCOLSTON, J              029OLYMPIA       1,594.07      0.00
4471-09445CHECKINGQUINTERO, R             055PUYALLUP      1,950.90      0.00
4471-09968CHECKINGABERNATHY, W            064KIRKLAND      1,329.24      0.00
4471-10129CHECKINGWOJCIECHOWSKI, P        117TACOMA        1,076.53     14.56
4471-10235CHECKINGGUSTAFSSON, L           091RENTON          822.78      0.00
4471-10347CHECKINGOLSON, F                047EDMONDS       1,168.43      0.00
4471-10372SAVINGS LARKSPUR, N             033SHORELINE     1,048.26    439.91
4471-10410SAVINGS HOLMGREN, E             047EDMONDS         493.84      0.00
4471-10526CHECKINGUNDERWOOD, C            077FEDERAL WAY   1,391.83      0.00
4471-10636CHECKINGIBARRA, S               069LYNNWOOD        696.96      0.00
4471-10774CHECKINGBJORNSTAD, R            042SEATTLE       1,674.73    336.71
4471-10911CHECKINGSORENSEN, K             033SHORELINE     1,764.88      0.00
4471-10973SAVINGS JAROSZ, W               029OLYMPIA       1,718.61      0.00
4471-11168CHECKINGKOSTELECKY, D           082ISSAQUAH      2,245.91      0.00
4471-11202SAVINGS DUBRAWSKI, R            106BOTHELL       1,737.28      0.00
4471-11207SAVINGS PETRAKIS, G             069LYNNWOOD      2,469.42      0.00
4471-11557CHECKINGDELACRUZ, J             058BELLEVUE        391.21      0.00
4471-11576SAVINGS ZUBRICKI, T             091RENTON          777.55      0.00
4471-11730CHECKINGVANTERPOOL, M           117TACOMA        8,904.21      0.00
4471-11792SAVINGS ERICKSON, N             073EVERETT       2,060.46      0.00
4471-11843SAVINGS XIONG, S                058BELLEVUE      2,488.64      0.00
4471-12125CHECKINGGARRIDO, L              061KENT          1,581.78    284.66
4471-12385SAVINGS FUENTES, A              052AUBURN        1,666.11      0.00
4471-12476SAVINGS BRENNAN, C              085REDMOND       1,622.80    102.07
4471-12589SAVINGS RAVENSCROFT, H          082ISSAQUAH      2,365.28     20.81
4471-12889SAVINGS TRUONG, M               044BURIEN        1,946.11      0.00
4471-12893SAVINGS JEPPESEN, K             055PUYALLUP      1,980.31      0.00
4471-12912CHECKINGMARTIN, D               052AUBURN          841.38    208.83
